DEPARTURES_SCHEDULED	DEPARTURES_PERFORMED	PAYLOAD	SEATS	PASSENGERS	FREIGHT	MAIL	DISTANCE	RAMP_TO_RAMP	AIR_TIME	UNIQUE_CARRIER	AIRLINE_ID	UNIQUE_CARRIER_NAME	UNIQUE_CARRIER_ENTITY	REGION	CARRIER	CARRIER_NAME	CARRIER_GROUP	CARRIER_GROUP_NEW	ORIGIN_AIRPORT_ID	ORIGIN_AIRPORT_SEQ_ID	ORIGIN_CITY_MARKET_ID	ORIGIN	ORIGIN_CITY_NAME	ORIGIN_STATE_ABR	ORIGIN_STATE_FIPS	ORIGIN_STATE_NM	ORIGIN_COUNTRY	ORIGIN_COUNTRY_NAME	ORIGIN_WAC	DEST_AIRPORT_ID	DEST_AIRPORT_SEQ_ID	DEST_CITY_MARKET_ID	DEST	DEST_CITY_NAME	DEST_STATE_ABR	DEST_STATE_FIPS	DEST_STATE_NM	DEST_COUNTRY	DEST_COUNTRY_NAME	DEST_WAC	AIRCRAFT_GROUP	AIRCRAFT_TYPE	AIRCRAFT_CONFIG	YEAR	QUARTER	MONTH	DISTANCE_GROUP	CLASS	DATA_SOURCE
140	136	4813619	20400	15303	229	0	733	20511	16060	UA	19977	United Air Lines Inc.	0A875	D	UA	United Air Lines Inc.	3	3	12953	1295304	31703	LGA	New York, NY	NY	36	New York	US	United States	22	13930	1393008	30977	ORD	Chicago, IL	IL	17	Illinois	US	United States	41	6	694	1	2024	1	2	2	F	DU
61	91	3949400	15925	15301	17234	0	2556	30476	28627	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	12892	1289208	32575	LAX	Los Angeles, CA	CA	6	California	US	United States	91	12173	1217305	32134	HNL	Honolulu, HI	HI	15	Hawaii	US	United States	2	6	838	1	2024	3	7	6	F	DU
106	105	4148800	18060	15300	2036	0	168	6576	3850	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	10994	1099402	30994	CHS	Charleston, SC	SC	45	South Carolina	US	United States	37	11057	1105703	31057	CLT	Charlotte, NC	NC	37	North Carolina	US	United States	36	6	614	1	2024	1	3	1	F	DU
111	111	4817400	19425	15300	28816	0	407	9779	7555	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	12889	1288904	32211	LAS	Las Vegas, NV	NV	32	Nevada	US	United States	85	13796	1379610	32457	OAK	Oakland, CA	CA	6	California	US	United States	91	6	614	1	2024	1	3	1	F	DU
110	110	4349400	18920	15298	1425	0	192	7796	4087	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	13303	1330303	32467	MIA	Miami, FL	FL	12	Florida	US	United States	33	13204	1320402	31454	MCO	Orlando, FL	FL	12	Florida	US	United States	33	6	614	1	2024	1	2	1	F	DU
92	92	4516280	16558	15297	20019	91	594	10246	7974	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	US	United States	34	11433	1143302	31295	DTW	Detroit, MI	MI	26	Michigan	US	United States	43	6	888	1	2024	3	8	2	F	DU
100	99	4663798	17721	15296	3120	12199	1605	25413	22345	UA	19977	United Air Lines Inc.	0A875	D	UA	United Air Lines Inc.	3	3	11618	1161802	31703	EWR	Newark, NJ	NJ	34	New Jersey	US	United States	21	11292	1129202	30325	DEN	Denver, CO	CO	8	Colorado	US	United States	82	6	839	1	2024	1	3	4	F	DU
117	117	5077800	20475	15296	13014	0	602	12857	10247	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	11292	1129202	30325	DEN	Denver, CO	CO	8	Colorado	US	United States	82	14107	1410702	30466	PHX	Phoenix, AZ	AZ	4	Arizona	US	United States	81	6	838	1	2024	4	12	2	F	DU
89	88	4417600	17248	15295	18162	18577	1121	18198	15156	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	13303	1330303	32467	MIA	Miami, FL	FL	12	Florida	US	United States	33	11298	1129806	30194	DFW	Dallas/Fort Worth, TX	TX	48	Texas	US	United States	74	6	721	1	2024	1	3	3	F	DU
60	58	5703430	16342	15294	855308	69223	3940	27027	25372	DL	19790	Delta Air Lines Inc.	10261	A	DL	Delta Air Lines Inc.	3	3	11433	1143302	31295	DTW	Detroit, MI	MI	26	Michigan	US	United States	43	10292	1029202	30292	AMS	Amsterdam, Netherlands				NL	Netherlands	461	6	687	1	2024	3	9	8	F	IU
99	94	4326300	16732	15294	41238	901	1721	25428	22087	AS	19930	Alaska Airlines Inc.	6031	D	AS	Alaska Airlines Inc.	3	3	13930	1393008	30977	ORD	Chicago, IL	IL	17	Illinois	US	United States	41	14747	1474703	30559	SEA	Seattle, WA	WA	53	Washington	US	United States	93	6	888	1	2024	3	8	4	F	DU
62	62	6096770	17461	15293	347369	0	3963	32244	30329	DL	19790	Delta Air Lines Inc.	10261	A	DL	Delta Air Lines Inc.	3	3	10920	1092006	30920	CDG	Paris, France				FR	France	427	11433	1143302	31295	DTW	Detroit, MI	MI	26	Michigan	US	United States	43	6	687	1	2024	3	8	8	F	IU
100	99	3917000	17028	15293	17348	17658	1391	19972	17167	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	11298	1129806	30194	DFW	Dallas/Fort Worth, TX	TX	48	Texas	US	United States	74	12478	1247805	31703	JFK	New York, NY	NY	36	New York	US	United States	22	6	614	1	2024	4	12	3	F	DU
94	88	4461600	16647	15292	1042	0	1020	15804	13066	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	12953	1295304	31703	LGA	New York, NY	NY	36	New York	US	United States	22	13487	1348702	31650	MSP	Minneapolis, MN	MN	27	Minnesota	US	United States	63	6	699	1	2024	3	7	3	F	DU
96	96	4712640	17277	15292	87186	5066	2182	26657	23962	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	14747	1474703	30559	SEA	Seattle, WA	WA	53	Washington	US	United States	93	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	US	United States	34	6	888	1	2024	1	2	5	F	DU
167	165	4933500	18150	15291	0	0	151	8648	5244	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	12217	1221702	30255	HSV	Huntsville, AL	AL	1	Alabama	US	United States	51	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	US	United States	34	6	608	1	2024	1	3	1	F	DU
62	62	6757050	15934	15290	1874582	90472	5456	40502	38094	UA	19977	United Air Lines Inc.	10874	A	UA	United Air Lines Inc.	3	3	12972	1297207	30730	LHR	London, United Kingdom				GB	United Kingdom	493	12892	1289208	32575	LAX	Los Angeles, CA	CA	6	California	US	United States	91	6	889	1	2024	3	7	11	F	IU
85	80	4939200	18711	15290	33934	0	2139	22078	19741	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	14771	1477104	32457	SFO	San Francisco, CA	CA	6	California	US	United States	91	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	US	United States	34	6	623	1	2024	3	8	5	F	DU
116	116	4802400	18792	15290	0	0	899	17119	14296	B6	20409	JetBlue Airways	6673	D	B6	JetBlue Airways	3	3	11697	1169706	32467	FLL	Fort Lauderdale, FL	FL	12	Florida	US	United States	33	11278	1127805	30852	DCA	Washington, DC	VA	51	Virginia	US	United States	38	6	694	1	2024	2	5	2	F	DU
0	55	5734175	17058	15289	386494	0	7260	0	0	CX	19779	Cathay Pacific Airways Ltd.	9729A	I	CX	Cathay Pacific Airways Ltd.	0	0	12892	1289208	32575	LAX	Los Angeles, CA	CA	6	California	US	United States	91	12143	1214303	32126	HKG	Hong Kong, Hong Kong				HK	Hong Kong	729	6	637	1	2024	2	4	15	F	IF
113	106	4121174	16640	15289	857	0	931	17452	14782	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	11278	1127805	30852	DCA	Washington, DC	VA	51	Virginia	US	United States	38	13487	1348702	31650	MSP	Minneapolis, MN	MN	27	Minnesota	US	United States	63	6	694	1	2024	2	6	2	F	DU
0	51	5048151	18768	15287	1097798	0	6906	0	0	KE	19550	Korean Air Lines Co. Ltd.	9778A	I	KE	Korean Air Lines Co. Ltd.	0	0	12277	1227706	31945	ICN	Seoul, South Korea				KR	South Korea	778	12478	1247805	31703	JFK	New York, NY	NY	36	New York	US	United States	22	8	821	1	2024	1	2	14	F	IF
0	75	6896820	17475	15287	2623313	0	2608	0	0	LP	20188	Lan Peru Airlines	9368E	I	LP	Lan Peru Airlines	0	0	12986	1298603	32986	LIM	Lima, Peru				PE	Peru	368	13303	1330303	32467	MIA	Miami, FL	FL	12	Florida	US	United States	33	6	626	3	2024	4	11	6	F	IF
115	114	4514100	19608	15287	0	0	235	7899	4896	AA	19805	American Airlines Inc.	10050	L	AA	American Airlines Inc.	3	3	12073	1207302	32073	HAV	Havana, Cuba				CU	Cuba	219	13303	1330303	32467	MIA	Miami, FL	FL	12	Florida	US	United States	33	6	614	1	2024	1	3	1	F	IU
118	117	4810673	19422	15287	209	0	733	17191	12905	UA	19977	United Air Lines Inc.	0A875	D	UA	United Air Lines Inc.	3	3	12953	1295304	31703	LGA	New York, NY	NY	36	New York	US	United States	22	13930	1393008	30977	ORD	Chicago, IL	IL	17	Illinois	US	United States	41	6	614	1	2024	3	9	2	F	DU
128	128	5555200	22400	15286	13018	0	397	11432	8944	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	12889	1288904	32211	LAS	Las Vegas, NV	NV	32	Nevada	US	United States	85	14893	1489302	33192	SMF	Sacramento, CA	CA	6	California	US	United States	91	6	838	1	2024	1	1	1	F	DU
183	182	7898800	31850	15286	8990	0	163	8945	5315	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	12173	1217305	32134	HNL	Honolulu, HI	HI	15	Hawaii	US	United States	2	12758	1275804	32758	KOA	Kona, HI	HI	15	Hawaii	US	United States	2	6	838	1	2024	3	8	1	F	DU
238	236	4503210	17935	15286	1384	0	280	18490	11346	MQ	20398	Envoy Air	6820	D	MQ	Envoy Air	3	3	11298	1129806	30194	DFW	Dallas/Fort Worth, TX	TX	48	Texas	US	United States	74	15919	1591905	31834	XNA	Fayetteville, AR	AR	5	Arkansas	US	United States	71	6	673	1	2024	3	7	1	F	DU
98	98	4923400	19196	15285	9202	1403	868	14549	11477	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	14107	1410702	30466	PHX	Phoenix, AZ	AZ	4	Arizona	US	United States	81	11298	1129806	30194	DFW	Dallas/Fort Worth, TX	TX	48	Texas	US	United States	74	6	721	1	2024	3	7	2	F	DU
98	98	5012500	18620	15283	651	70	2077	30811	28408	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	11057	1105703	31057	CLT	Charlotte, NC	NC	37	North Carolina	US	United States	36	14679	1467903	33570	SAN	San Diego, CA	CA	6	California	US	United States	91	6	699	1	2024	1	2	5	F	DU
89	89	4467800	17444	15282	282	0	1979	25294	22587	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	11278	1127805	30852	DCA	Washington, DC	VA	51	Virginia	US	United States	38	14107	1410702	30466	PHX	Phoenix, AZ	AZ	4	Arizona	US	United States	81	6	721	1	2024	3	9	4	F	DU
0	31	4283970	15779	15281	531989	0	4038	0	0	LH	19554	Lufthansa German Airlines	9429D	I	LH	Lufthansa German Airlines	0	0	13518	1351806	33518	MUC	Munich, Germany				DE	Germany	429	12478	1247805	31703	JFK	New York, NY	NY	36	New York	US	United States	22	8	882	1	2024	3	8	9	F	IF
103	103	4068500	17716	15281	11489	0	529	12374	8125	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	11057	1105703	31057	CLT	Charlotte, NC	NC	37	North Carolina	US	United States	36	11618	1161802	31703	EWR	Newark, NJ	NJ	34	New Jersey	US	United States	21	6	614	1	2024	4	11	2	F	DU
0	100	4093261	17992	15279	28116	0	1506	0	0	AV	19537	Aerovias Nacl De Colombia	9327A	I	AV	Aerovias Nacl De Colombia	0	0	13303	1330303	32467	MIA	Miami, FL	FL	12	Florida	US	United States	33	10711	1071102	30711	BOG	Bogota, Colombia				CO	Colombia	327	6	694	1	2024	3	7	4	F	IF
109	106	4134386	16636	15278	0	0	1521	23702	20538	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	10423	1042302	30423	AUS	Austin, TX	TX	48	Texas	US	United States	74	12478	1247805	31703	JFK	New York, NY	NY	36	New York	US	United States	22	6	694	1	2024	4	10	4	F	DU
93	93	4770200	17670	15277	2240	186	1095	17299	15210	AA	19805	American Airlines Inc.	0A050	D	AA	American Airlines Inc.	3	3	11057	1105703	31057	CLT	Charlotte, NC	NC	37	North Carolina	US	United States	36	14683	1468305	33214	SAT	San Antonio, TX	TX	48	Texas	US	United States	74	6	699	1	2024	1	3	3	F	DU
105	103	5056270	18164	15277	4429	0	669	11934	9644	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	13342	1334207	33342	MKE	Milwaukee, WI	WI	55	Wisconsin	US	United States	45	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	US	United States	34	6	888	1	2024	4	12	2	F	DU
0	53	4199573	16761	15276	847708	0	3180	0	0	EI	19623	Aer Lingus Plc	9441B	I	EI	Aer Lingus Plc	0	0	11435	1143505	31435	DUB	Dublin, Ireland				IE	Ireland	441	12478	1247805	31703	JFK	New York, NY	NY	36	New York	US	United States	22	6	696	1	2024	2	6	7	F	IF
61	59	5700192	18762	15276	726160	59226	5692	35521	33729	UA	19977	United Air Lines Inc.	10874	A	UA	United Air Lines Inc.	3	3	11618	1161802	31703	EWR	Newark, NJ	NJ	34	New Jersey	US	United States	21	15258	1525802	35258	TLV	Tel Aviv, Israel				IL	Israel	636	6	837	1	2024	3	7	12	F	IU
109	107	4643800	18725	15275	5680	0	397	8664	6717	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	14893	1489302	33192	SMF	Sacramento, CA	CA	6	California	US	United States	91	12889	1288904	32211	LAS	Las Vegas, NV	NV	32	Nevada	US	United States	85	6	614	1	2024	1	3	1	F	DU
133	133	4601800	19019	15274	5336	0	601	13204	10941	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	13232	1323202	30977	MDW	Chicago, IL	IL	17	Illinois	US	United States	41	11278	1127805	30852	DCA	Washington, DC	VA	51	Virginia	US	United States	38	6	612	1	2024	4	10	2	F	DU
136	136	4705600	19448	15274	27748	0	651	14804	12186	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	11292	1129202	30325	DEN	Denver, CO	CO	8	Colorado	US	United States	82	11259	1125904	30194	DAL	Dallas, TX	TX	48	Texas	US	United States	74	6	612	1	2024	4	12	2	F	DU
62	62	6809945	15934	15273	204191	36782	4671	35331	32994	UA	19977	United Air Lines Inc.	10874	A	UA	United Air Lines Inc.	3	3	12972	1297207	30730	LHR	London, United Kingdom				GB	United Kingdom	493	11292	1129202	30325	DEN	Denver, CO	CO	8	Colorado	US	United States	82	6	889	1	2024	3	7	10	F	IU
95	93	4565370	16740	15273	9208	0	630	10244	8229	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	14869	1486903	34614	SLC	Salt Lake City, UT	UT	49	Utah	US	United States	87	14057	1405702	34057	PDX	Portland, OR	OR	41	Oregon	US	United States	92	6	888	1	2024	2	6	2	F	DU
113	106	4121174	16636	15273	446	0	931	15091	12349	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	13487	1348702	31650	MSP	Minneapolis, MN	MN	27	Minnesota	US	United States	63	11278	1127805	30852	DCA	Washington, DC	VA	51	Virginia	US	United States	38	6	694	1	2024	2	6	2	F	DU
97	95	4816500	18046	15272	4940	34	1310	18089	15570	DL	19790	Delta Air Lines Inc.	1260	D	DL	Delta Air Lines Inc.	3	3	13487	1348702	31650	MSP	Minneapolis, MN	MN	27	Minnesota	US	United States	63	13204	1320402	31454	MCO	Orlando, FL	FL	12	Florida	US	United States	33	6	699	1	2024	2	5	3	F	DU
119	118	4885200	19116	15272	0	0	1076	19805	16724	B6	20409	JetBlue Airways	6673	D	B6	JetBlue Airways	3	3	11697	1169706	32467	FLL	Fort Lauderdale, FL	FL	12	Florida	US	United States	33	12953	1295304	31703	LGA	New York, NY	NY	36	New York	US	United States	22	6	694	1	2024	4	12	3	F	DU
62	62	6746430	15934	15269	1405350	2904	2454	19514	16974	UA	19977	United Air Lines Inc.	0A875	D	UA	United Air Lines Inc.	3	3	12892	1289208	32575	LAX	Los Angeles, CA	CA	6	California	US	United States	91	11618	1161802	31703	EWR	Newark, NJ	NJ	34	New Jersey	US	United States	21	6	889	1	2024	3	7	5	F	DU
118	114	4947600	19950	15269	21078	0	787	14580	11614	WN	19393	Southwest Airlines Co.	6725	D	WN	Southwest Airlines Co.	3	3	13204	1320402	31454	MCO	Orlando, FL	FL	12	Florida	US	United States	33	10821	1082106	30852	BWI	Baltimore, MD	MD	24	Maryland	US	United States	35	6	838	1	2024	1	1	2	F	DU
100	99	3808395	16434	15266	1202	46	853	14297	11195	UA	19977	United Air Lines Inc.	0A875	D	UA	United Air Lines Inc.	3	3	14679	1467903	33570	SAN	San Diego, CA	CA	6	California	US	United States	91	11292	1129202	30325	DEN	Denver, CO	CO	8	Colorado	US	United States	82	6	614	1	2024	3	7	2	F	DU
